impl,grid_size,num_thread,seconds
seq,64,8,0.00513
seq,64,16,0.00513
seq,64,32,0.00513
seq,64,1,0.004198
seq,64,2,0.004198
seq,64,4,0.004198
seq,64,8,0.004198
seq,64,16,0.004198
seq,64,32,0.004198
seq,64,1,0.005084
seq,64,2,0.005084
seq,64,4,0.005084
seq,64,8,0.005084
seq,64,16,0.005084
seq,64,32,0.005084
seq,64,1,0.004227
seq,64,2,0.004227
seq,64,4,0.004227
seq,64,8,0.004227
seq,64,16,0.004227
seq,64,32,0.004227
seq,64,1,0.005108
seq,64,2,0.005108
seq,64,4,0.005108
seq,64,8,0.005108
seq,64,16,0.005108
seq,64,32,0.005108
seq,64,1,0.004226
seq,64,2,0.004226
seq,64,4,0.004226
seq,64,8,0.004226
seq,64,16,0.004226
seq,64,32,0.004226
seq,64,1,0.005087
seq,64,2,0.005087
seq,64,4,0.005087
seq,64,8,0.005087
seq,64,16,0.005087
seq,64,32,0.005087
seq,64,1,0.004196
seq,64,2,0.004196
seq,64,4,0.004196
seq,64,8,0.004196
seq,64,16,0.004196
seq,64,32,0.004196
seq,64,1,0.005158
seq,64,2,0.005158
seq,64,4,0.005158
seq,64,8,0.005158
seq,64,16,0.005158
seq,64,32,0.005158
seq,64,1,0.004211
seq,64,2,0.004211
seq,64,4,0.004211
seq,64,8,0.004211
seq,64,16,0.004211
seq,64,32,0.004211
seq,64,1,0.005117
seq,64,2,0.005117
seq,64,4,0.005117
seq,64,8,0.005117
seq,64,16,0.005117
seq,64,32,0.005117
seq,64,1,0.004193
seq,64,2,0.004193
seq,64,4,0.004193
seq,64,8,0.004193
seq,64,16,0.004193
seq,64,32,0.004193
seq,64,1,0.005136
seq,64,2,0.005136
seq,64,4,0.005136
seq,64,8,0.005136
seq,64,16,0.005136
seq,64,32,0.005136
seq,64,1,0.004202
seq,64,2,0.004202
seq,64,4,0.004202
seq,64,8,0.004202
seq,64,16,0.004202
seq,64,32,0.004202
seq,64,1,0.005107
seq,64,2,0.005107
seq,64,4,0.005107
seq,64,8,0.005107
seq,64,16,0.005107
seq,64,32,0.005107
seq,64,1,0.00419
seq,64,2,0.00419
seq,64,4,0.00419
seq,64,8,0.00419
seq,64,16,0.00419
seq,64,32,0.00419
seq,64,1,0.0051
seq,64,2,0.0051
seq,64,4,0.0051
seq,64,8,0.0051
seq,64,16,0.0051
seq,64,32,0.0051
seq,64,1,0.004194
seq,64,2,0.004194
seq,64,4,0.004194
seq,64,8,0.004194
seq,64,16,0.004194
seq,64,32,0.004194
seq,64,1,0.006428
seq,64,2,0.006428
seq,64,4,0.006428
seq,64,8,0.006428
seq,64,16,0.006428
seq,64,32,0.006428
seq,64,1,0.004208
seq,64,2,0.004208
seq,64,4,0.004208
seq,64,8,0.004208
seq,64,16,0.004208
seq,64,32,0.004208
seq,64,1,0.005503
seq,64,2,0.005503
seq,64,4,0.005503
seq,64,8,0.005503
seq,64,16,0.005503
seq,64,32,0.005503
seq,64,1,0.0042
seq,64,2,0.0042
seq,64,4,0.0042
seq,64,8,0.0042
seq,64,16,0.0042
seq,64,32,0.0042
seq,128,1,0.020422
seq,128,2,0.020422
seq,128,4,0.020422
seq,128,8,0.020422
seq,128,16,0.020422
seq,128,32,0.020422
seq,128,1,0.018711
seq,128,2,0.018711
seq,128,4,0.018711
seq,128,8,0.018711
seq,128,16,0.018711
seq,128,32,0.018711
seq,128,1,0.019817
seq,128,2,0.019817
seq,128,4,0.019817
seq,128,8,0.019817
seq,128,16,0.019817
seq,128,32,0.019817
seq,128,1,0.018631
seq,128,2,0.018631
seq,128,4,0.018631
seq,128,8,0.018631
seq,128,16,0.018631
seq,128,32,0.018631
seq,128,1,0.017568
seq,128,2,0.017568
seq,128,4,0.017568
seq,128,8,0.017568
seq,128,16,0.017568
seq,128,32,0.017568
seq,128,1,0.021116
seq,128,2,0.021116
seq,128,4,0.021116
seq,128,8,0.021116
seq,128,16,0.021116
seq,128,32,0.021116
seq,128,1,0.016904
seq,128,2,0.016904
seq,128,4,0.016904
seq,128,8,0.016904
seq,128,16,0.016904
seq,128,32,0.016904
seq,128,1,0.016933
seq,128,2,0.016933
seq,128,4,0.016933
seq,128,8,0.016933
seq,128,16,0.016933
seq,128,32,0.016933
seq,128,1,0.018034
seq,128,2,0.018034
seq,128,4,0.018034
seq,128,8,0.018034
seq,128,16,0.018034
seq,128,32,0.018034
seq,128,1,0.016905
seq,128,2,0.016905
seq,128,4,0.016905
seq,128,8,0.016905
seq,128,16,0.016905
seq,128,32,0.016905
seq,128,1,0.021291
seq,128,2,0.021291
seq,128,4,0.021291
seq,128,8,0.021291
seq,128,16,0.021291
seq,128,32,0.021291
seq,128,1,0.016911
seq,128,2,0.016911
seq,128,4,0.016911
seq,128,8,0.016911
seq,128,16,0.016911
seq,128,32,0.016911
seq,128,1,0.018657
seq,128,2,0.018657
seq,128,4,0.018657
seq,128,8,0.018657
seq,128,16,0.018657
seq,128,32,0.018657
seq,128,1,0.016906
seq,128,2,0.016906
seq,128,4,0.016906
seq,128,8,0.016906
seq,128,16,0.016906
seq,128,32,0.016906
seq,128,1,0.018598
seq,128,2,0.018598
seq,128,4,0.018598
seq,128,8,0.018598
seq,128,16,0.018598
seq,128,32,0.018598
seq,128,1,0.01691
seq,128,2,0.01691
seq,128,4,0.01691
seq,128,8,0.01691
seq,128,16,0.01691
seq,128,32,0.01691
seq,128,1,0.018656
seq,128,2,0.018656
seq,128,4,0.018656
seq,128,8,0.018656
seq,128,16,0.018656
seq,128,32,0.018656
seq,128,1,0.016922
seq,128,2,0.016922
seq,128,4,0.016922
seq,128,8,0.016922
seq,128,16,0.016922
seq,128,32,0.016922
seq,128,1,0.018637
seq,128,2,0.018637
seq,128,4,0.018637
seq,128,8,0.018637
seq,128,16,0.018637
seq,128,32,0.018637
seq,128,1,0.021704
seq,128,2,0.021704
seq,128,4,0.021704
seq,128,8,0.021704
seq,128,16,0.021704
seq,128,32,0.021704
seq,128,1,0.018177
seq,128,2,0.018177
seq,128,4,0.018177
seq,128,8,0.018177
seq,128,16,0.018177
seq,128,32,0.018177
seq,128,1,0.015332
seq,128,2,0.015332
seq,128,4,0.015332
seq,128,8,0.015332
seq,128,16,0.015332
seq,128,32,0.015332
seq,128,1,0.018621
seq,128,2,0.018621
seq,128,4,0.018621
seq,128,8,0.018621
seq,128,16,0.018621
seq,128,32,0.018621
seq,128,1,0.015212
seq,128,2,0.015212
seq,128,4,0.015212
seq,128,8,0.015212
seq,128,16,0.015212
seq,128,32,0.015212
seq,128,1,0.01862
seq,128,2,0.01862
seq,128,4,0.01862
seq,128,8,0.01862
seq,128,16,0.01862
seq,128,32,0.01862
seq,128,1,0.015673
seq,128,2,0.015673
seq,128,4,0.015673
seq,128,8,0.015673
seq,128,16,0.015673
seq,128,32,0.015673
seq,128,1,0.018614
seq,128,2,0.018614
seq,128,4,0.018614
seq,128,8,0.018614
seq,128,16,0.018614
seq,128,32,0.018614
seq,128,1,0.015226
seq,128,2,0.015226
seq,128,4,0.015226
seq,128,8,0.015226
seq,128,16,0.015226
seq,128,32,0.015226
seq,128,1,0.015551
seq,128,2,0.015551
seq,128,4,0.015551
seq,128,8,0.015551
seq,128,16,0.015551
seq,128,32,0.015551
seq,128,1,0.018566
seq,128,2,0.018566
seq,128,4,0.018566
seq,128,8,0.018566
seq,128,16,0.018566
seq,128,32,0.018566
seq,256,1,0.061829
seq,256,2,0.061829
seq,256,4,0.061829
seq,256,8,0.061829
seq,256,16,0.061829
seq,256,32,0.061829
seq,256,1,0.069862
seq,256,2,0.069862
seq,256,4,0.069862
seq,256,8,0.069862
seq,256,16,0.069862
seq,256,32,0.069862
seq,256,1,0.070239
seq,256,2,0.070239
seq,256,4,0.070239
seq,256,8,0.070239
seq,256,16,0.070239
seq,256,32,0.070239
seq,256,1,0.070339
seq,256,2,0.070339
seq,256,4,0.070339
seq,256,8,0.070339
seq,256,16,0.070339
seq,256,32,0.070339
seq,256,1,0.070153
seq,256,2,0.070153
seq,256,4,0.070153
seq,256,8,0.070153
seq,256,16,0.070153
seq,256,32,0.070153
seq,256,1,0.069794
seq,256,2,0.069794
seq,256,4,0.069794
seq,256,8,0.069794
seq,256,16,0.069794
seq,256,32,0.069794
seq,256,1,0.070441
seq,256,2,0.070441
seq,256,4,0.070441
seq,256,8,0.070441
seq,256,16,0.070441
seq,256,32,0.070441
seq,256,1,0.07057
seq,256,2,0.07057
seq,256,4,0.07057
seq,256,8,0.07057
seq,256,16,0.07057
seq,256,32,0.07057
seq,256,1,0.070663
