impl,array_size,num_process,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
MPI_Bcast,1024,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,1024,2,30,5.34e-05,7.146737862057453e-06,5.293307979301224e-05,5.386692020698775e-05
MPI_Bcast,1024,4,30,0.00021300000000000003,0.0004800336913463327,0.00018163779883203962,0.0002443622011679604
MPI_Bcast,1024,8,30,0.0018134666666666667,0.002832026723200108,0.0016284409207509263,0.001998492412582407
MPI_Bcast,1024,16,30,0.003727866666666667,0.006803434435602377,0.0032833756168739784,0.004172357716459355
MPI_Bcast,1024,32,30,0.005701766666666666,0.00295219302101562,0.005508890055960312,0.00589464327737302
MPI_Bcast,2048,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,2048,2,30,6.07e-05,2.7811124045778066e-05,5.88830065623425e-05,6.25169934376575e-05
MPI_Bcast,2048,4,30,0.0002292666666666667,0.0006258014961980182,0.00018838096891506286,0.00027015236441827053
MPI_Bcast,2048,8,30,0.001758,0.0029362837643571826,0.0015661627940619974,0.0019498372059380026
MPI_Bcast,2048,16,30,0.004749066666666666,0.005013040071056981,0.004421548048690944,0.005076585284642388
MPI_Bcast,2048,32,30,0.0087611,0.007934354847857773,0.008242722149939959,0.009279477850060043
MPI_Bcast,4096,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,4096,2,30,6.533333333333333e-05,1.1182909785219936e-05,6.460271656069896e-05,6.606395010596769e-05
MPI_Bcast,4096,4,30,0.00026393333333333326,0.0006094514737455105,0.00022411583704862658,0.00030375082961803994
MPI_Bcast,4096,8,30,0.001125966666666667,0.0015793887181401879,0.001022779937081508,0.0012291533962518258
MPI_Bcast,4096,16,30,0.0026404999999999996,0.002615732042983313,0.00246960550652509,0.0028113944934749094
MPI_Bcast,4096,32,30,0.005995566666666668,0.005988730236054208,0.0056043029579111265,0.006386830375422209
MPI_Bcast,8192,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,8192,2,30,7.553333333333336e-05,1.0424551039148693e-05,7.485226266544231e-05,7.62144040012244e-05
MPI_Bcast,8192,4,30,0.00016003333333333328,0.00010300267265810456,0.0001533038253863371,0.00016676284128032946
MPI_Bcast,8192,8,30,0.0029850000000000002,0.004060073508762092,0.00271974186409421,0.0032502581359057903
MPI_Bcast,8192,16,30,0.003489199999999999,0.004173868530553499,0.003216507256003837,0.0037618927439961613
MPI_Bcast,8192,32,30,0.006734833333333333,0.009288327881450639,0.006127995911745225,0.007341670754921441
MPI_Bcast,16384,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,16384,2,30,0.00010046666666666664,1.5506913548997813e-05,9.945354831479878e-05,0.00010147978501853449
MPI_Bcast,16384,4,30,0.00042389999999999995,0.0010390193104972626,0.0003560174050475121,0.0004917825949524877
MPI_Bcast,16384,8,30,0.0030099999999999997,0.004538440967313897,0.002713488523468825,0.003306511476531174
MPI_Bcast,16384,16,30,0.0044343333333333335,0.007646937139090095,0.003934733440246114,0.004933933226420553
MPI_Bcast,16384,32,30,0.006009366666666667,0.004248914039621412,0.005731770949411401,0.0062869623839219325
MPI_Bcast,32768,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,32768,2,30,0.00014419999999999998,4.101000718916265e-05,0.00014152067953030801,0.00014687932046969195
MPI_Bcast,32768,4,30,0.00032653333333333343,0.0003108505277053791,0.0003062244321899153,0.00034684223447675153
MPI_Bcast,32768,8,30,0.0017091333333333334,0.0032876214935812593,0.001494342062419358,0.001923924604247309
MPI_Bcast,32768,16,30,0.0035544666666666672,0.0025945926892266746,0.003384953277637191,0.0037239800556961434
MPI_Bcast,32768,32,30,0.0072813999999999995,0.006105655900262788,0.006882497147849497,0.007680302852150502
MPI_Bcast,65536,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,65536,2,30,0.00022509999999999997,4.0944327214334377e-05,0.0002224249706219968,0.00022777502937800314
MPI_Bcast,65536,4,30,0.0010637333333333335,0.0014848964885166896,0.0009667200960835764,0.0011607465705830906
MPI_Bcast,65536,8,30,0.003389966666666666,0.0045424892498560155,0.00309319070234274,0.0036867426309905925
MPI_Bcast,65536,16,30,0.005928166666666667,0.005921734683428459,0.005541280000682674,0.006315053332650659
MPI_Bcast,65536,32,30,0.008868666666666665,0.00383328493622622,0.008618225384166553,0.009119107949166778
MPI_Bcast,131072,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
MPI_Bcast,131072,2,30,0.0004106,8.340660686639587e-05,0.0004051507683513955,0.00041604923164860453
MPI_Bcast,131072,4,30,0.0013908000000000002,0.0013473661253950496,0.0013027720798075237,0.0014788279201924767
MPI_Bcast,131072,8,30,0.0046493666666666674,0.003787038843971253,0.004401946795527212,0.004896786537806123
MPI_Bcast,131072,16,30,0.009019666666666665,0.005785842252836889,0.008641658306147989,0.009397675027185342
MPI_Bcast,131072,32,30,0.014216666666666666,0.0042479227973156505,0.013939135710575376,0.014494197622757955
custom_bcast,1024,1,30,1.1666666666666664e-06,9.128709291752769e-07,1.1070257659605482e-06,1.2263075673727845e-06
custom_bcast,1024,2,30,4.84e-05,7.981011948627689e-06,4.787857388602299e-05,4.8921426113977004e-05
custom_bcast,1024,4,30,0.00016030000000000005,0.00016036298265777098,0.00014982295179969234,0.00017077704820030775
custom_bcast,1024,8,30,0.0015438333333333335,0.001985877189718357,0.0014140893569384008,0.0016735773097282661
custom_bcast,1024,16,30,0.005543966666666667,0.005128322045157712,0.0052089162930496966,0.005879017040283638
custom_bcast,1024,32,30,0.011577933333333335,0.007522980374794303,0.011086431948846774,0.012069434717819896
custom_bcast,2048,1,30,1.7666666666666663e-06,2.1922014338187035e-06,1.6234428396571778e-06,1.909890493676155e-06
custom_bcast,2048,2,30,5.356666666666666e-05,7.407746799376864e-06,5.308269387577404e-05,5.4050639457559284e-05
custom_bcast,2048,4,30,0.00019096666666666668,0.00025420904828484187,0.00017435834217872367,0.0002075749911546097
custom_bcast,2048,8,30,0.0018003666666666666,0.003286323304381287,0.0015856602107804227,0.0020150731225529106
custom_bcast,2048,16,30,0.008081466666666667,0.009620628220699496,0.007452918956247633,0.008710014377085702
custom_bcast,2048,32,30,0.015626366666666665,0.012905626424650748,0.014783199073589484,0.01646953425974385
custom_bcast,4096,1,30,1.2333333333333329e-06,1.2780193008453874e-06,1.1498360723447676e-06,1.3168305943218982e-06
custom_bcast,4096,2,30,6.076666666666667e-05,9.633573953961053e-06,6.0137273168341216e-05,6.139606016499212e-05
custom_bcast,4096,4,30,0.00030403333333333337,0.0005769518884700832,0.00026633914328662127,0.00034172752338004547
custom_bcast,4096,8,30,0.0018636000000000002,0.0031637631739258954,0.001656900805970175,0.0020702991940298255
custom_bcast,4096,16,30,0.005458066666666668,0.005728283476016983,0.005083818812900225,0.0058323145204331114
custom_bcast,4096,32,30,0.013382699999999999,0.00913200840224212,0.012786075451053513,0.013979324548946485
custom_bcast,8192,1,30,1.4666666666666662e-06,1.775956921917237e-06,1.3506374811014067e-06,1.5826958522319258e-06
custom_bcast,8192,2,30,6.926666666666667e-05,1.1470902719289462e-05,6.851723435567309e-05,7.001609897766024e-05
custom_bcast,8192,4,30,0.0007853,0.003191519831981471,0.0005767873709772106,0.0009938126290227893
custom_bcast,8192,8,30,0.0027565000000000003,0.004336443264895226,0.002473185706693512,0.0030398142933064885
custom_bcast,8192,16,30,0.004879633333333335,0.003848168220598339,0.004628219676254244,0.005131046990412427
custom_bcast,8192,32,30,0.009645266666666668,0.0034268019064059023,0.00942138227544815,0.009869151057885186
custom_bcast,16384,1,30,1.766666666666666e-06,2.4730733822559707e-06,1.6050925390259425e-06,1.9282407943073895e-06
custom_bcast,16384,2,30,9.446666666666667e-05,2.8348488171491532e-05,9.261456543946255e-05,9.631876789387079e-05
custom_bcast,16384,4,30,0.00048046666666666667,0.0009044250501088346,0.0004213775633928895,0.0005395557699404439
custom_bcast,16384,8,30,0.002430066666666667,0.0036420486933946214,0.002192119485364885,0.002668013847968449
custom_bcast,16384,16,30,0.006876999999999999,0.008263754173163839,0.006337101394019962,0.007416898605980037
custom_bcast,16384,32,30,0.012973933333333333,0.007171549642250577,0.012505392090039629,0.013442474576627037
custom_bcast,32768,1,30,1.5999999999999995e-06,1.830771459776188e-06,1.4803895979612885e-06,1.7196104020387105e-06
custom_bcast,32768,2,30,0.00013933333333333335,4.3379109331990455e-05,0.0001364992315236433,0.0001421674351430234
custom_bcast,32768,4,30,0.0008888333333333334,0.002306646215692345,0.0007381324472414335,0.0010395342194252334
custom_bcast,32768,8,30,0.002503033333333333,0.002739595118378568,0.0023240464522659332,0.002682020214400733
