impl,grid_size,num_thread,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
omp,32,1,30,0.0014802666666666668,0.00034011538947968753,0.0014580457945539938,0.0015024875387793398
omp,32,2,30,0.0018125,0.006523015992463227,0.0013863296218257358,0.0022386703781742644
omp,32,4,30,0.0009643666666666666,0.0022322609302945612,0.0008185256192207553,0.0011102077141125779
omp,32,8,30,0.0013896333333333333,0.00022056940159401124,0.001375222799095858,0.0014040438675708086
omp,32,16,30,0.0024850333333333334,0.000217381197571159,0.0024708310950920177,0.002499235571574649
omp,32,32,30,0.0048726333333333335,0.000751746310993246,0.004823519241015108,0.004921747425651559
omp,64,1,30,0.004209033333333333,0.00010367538308331102,0.00420225987497189,0.0042158067916947765
omp,64,2,30,0.0022097,6.694884820414815e-05,0.002205326008583996,0.0022140739914160044
omp,64,4,30,0.0012736666666666667,0.00013105601154056055,0.00126510434057935,0.0012822289927539832
omp,64,8,30,0.0025071666666666667,0.00017688513384316005,0.00249561017125558,0.002518723162077753
omp,64,16,30,0.0033677000000000004,0.0002108104476243675,0.0033539270507552082,0.0033814729492447925
omp,64,32,30,0.006053233333333334,0.0008274834588755497,0.005999171080686798,0.00610729558597987
omp,128,1,30,0.01839316666666667,0.0021201508905855206,0.01825465014181508,0.018531683191518256
omp,128,2,30,0.009063166666666667,0.0006034463141183221,0.009023741507477603,0.009102591825855731
omp,128,4,30,0.004777599999999999,0.000479913253655786,0.004746245667427821,0.004808954332572177
omp,128,8,30,0.0076719,0.001358458008945792,0.007583147410082208,0.0077606525899177915
omp,128,16,30,0.0077112,0.00044231104674082657,0.007682302344946265,0.007740097655053734
omp,128,32,30,0.0103967,0.0014302160712091117,0.010303259216681005,0.010490140783318995
omp,256,1,30,0.07319746666666666,0.003757971524853429,0.07295194586037623,0.07344298747295708
omp,256,2,30,0.03559196666666666,0.0027740524879221596,0.03541072857078908,0.035773204762544246
omp,256,4,30,0.018246966666666666,0.001824824176383205,0.018127744820476296,0.018366188512857037
omp,256,8,30,0.02649456666666667,0.0017947593572885231,0.02637730905532382,0.02661182427800952
omp,256,16,30,0.024542,0.002393435649207338,0.024385628870918455,0.024698371129081548
omp,256,32,30,0.026607766666666664,0.0018092488569671065,0.02648956240801148,0.02672597092532185
omp,512,1,30,0.2717618666666667,0.004618147939964931,0.2714601476679223,0.27206358566541106
omp,512,2,30,0.1357243,0.0015541906009682112,0.1356227595474034,0.13582584045259657
omp,512,4,30,0.07574553333333332,0.015467887515381851,0.07473496468232838,0.07675610198433827
omp,512,8,30,0.09297876666666664,0.012210171267920613,0.0921810354771625,0.09377649785617079
omp,512,16,30,0.08440650000000001,0.007934142818138623,0.08388813600254828,0.08492486399745174
omp,512,32,30,0.09240256666666664,0.00749618905331159,0.09191281564851696,0.09289231768481633
omp,1024,1,30,1.0755718666666667,0.00842327912531623,1.0750215457638128,1.0761221875695206
omp,1024,2,30,0.5420094666666666,0.007987966219660475,0.5414875862069821,0.5425313471263511
omp,1024,4,30,0.29210796666666666,0.018023531296007478,0.29093042928866086,0.29328550404467246
omp,1024,8,30,0.30529506666666667,0.025471041578601587,0.3036309586168647,0.30695917471646866
omp,1024,16,30,0.3036633,0.01635555134935473,0.30259473731184217,0.3047318626881579
omp,1024,32,30,0.32737689999999997,0.01501345518905602,0.3263960209276483,0.32835777907235164
omp,2048,1,30,4.2962495333333335,0.005913076675869621,4.295863212323844,4.296635854342823
omp,2048,2,30,2.1627433000000003,0.00515704690389428,2.1624063729356124,2.163080227064388
omp,2048,4,30,1.1536778000000003,0.019228977996404464,1.1524215067709018,1.1549340932290988
omp,2048,8,30,1.2280769999999999,0.10660251885909379,1.2211123021012058,1.235041697898794
omp,2048,16,30,1.1974681666666667,0.03181832748599064,1.1953893692709152,1.1995469640624181
omp,2048,32,30,1.2089058333333333,0.049972708334466015,1.2056409497221483,1.2121707169445184
