impl,grid_size,num_thread,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
pth,256,16,30,0.03065206666666667,0.0012637113903739728,0.030569504189162235,0.0307346291441711
pth,256,32,30,0.04160896666666667,0.008123988736996782,0.04107819940251621,0.04213973393081713
pth,512,1,30,0.34013119999999997,0.027182768440623402,0.3383552591285459,0.341907140871454
pth,512,2,30,0.15329463333333332,0.014677728515617154,0.15233568840364634,0.1542535782630203
pth,512,4,30,0.07006003333333331,0.0015220907463846837,0.06996059007123619,0.07015947659543044
pth,512,8,30,0.09009953333333334,0.021180942281037538,0.08871571177097222,0.09148335489569447
pth,512,16,30,0.09681479999999998,0.0036384852323744434,0.09657708563148484,0.09705251436851511
pth,512,32,30,0.12342250000000002,0.014511193013409125,0.12247443538979062,0.12437056461020941
pth,1024,1,30,1.2943865333333335,0.026750598108341857,1.2926388275902552,1.296134239076412
pth,1024,2,30,0.5370129,0.034472550331661925,0.5347606933783314,0.5392651066216686
pth,1024,4,30,0.2822756,0.031052107827394548,0.28024686228861023,0.2843043377113898
pth,1024,8,30,0.28043019999999996,0.014671931385448554,0.27947163381615064,0.2813887661838493
pth,1024,16,30,0.30829873333333324,0.01566447730933632,0.30727532081578995,0.30932214585087653
pth,1024,32,30,0.3855622333333333,0.06042402992512129,0.38161453004489204,0.3895099366217745
pth,2048,1,30,4.4481831666666665,0.016783930416104636,4.447086616546148,4.449279716787185
pth,2048,2,30,2.0471701666666666,0.024186105427081186,2.045590007778764,2.048750325554569
pth,2048,4,30,1.0846609333333335,0.029905092349116674,1.0827071339665244,1.0866147327001425
pth,2048,8,30,1.0980353,0.031210095334185794,1.0959962404381667,1.1000743595618334
pth,2048,16,30,1.1299112666666669,0.027301486040056534,1.1281275695787165,1.1316949637546172
pth,2048,32,30,1.1861848,0.09602659408237944,1.1799110625199511,1.1924585374800487
pth,4096,1,30,16.43990093333333,0.016333331097912133,16.438833822368267,16.440968044298394
pth,4096,2,30,8.105419699999999,0.041092100918210694,8.102735016073343,8.108104383926655
pth,4096,4,30,4.309306966666666,0.053619609503191216,4.305803818845791,4.312810114487541
pth,4096,8,30,4.474548700000001,0.1180570909398617,4.466835636725263,4.482261763274738
pth,4096,16,30,4.363300233333334,0.04537295995807928,4.360335866616072,4.366264600050595
pth,4096,32,30,4.391486333333334,0.17140532945086898,4.380287851809211,4.402684814857457
seq,32,1,30,0.001225366666666667,0.00012357365061548025,0.0012172931881597891,0.001233440145173545
seq,32,2,30,0.001225366666666667,0.00012357365061548025,0.0012172931881597891,0.001233440145173545
seq,32,4,30,0.001225366666666667,0.00012357365061548025,0.0012172931881597891,0.001233440145173545
seq,32,8,30,0.001225366666666667,0.00012357365061548025,0.0012172931881597891,0.001233440145173545
seq,32,16,30,0.001225366666666667,0.00012357365061548025,0.0012172931881597891,0.001233440145173545
seq,32,32,30,0.001225366666666667,0.00012357365061548025,0.0012172931881597891,0.001233440145173545
seq,64,1,30,0.004710133333333334,0.00063914337786702,0.004668375965979355,0.004751890700687313
seq,64,2,30,0.004710133333333334,0.00063914337786702,0.004668375965979355,0.004751890700687313
seq,64,4,30,0.004710133333333334,0.00063914337786702,0.004668375965979355,0.004751890700687313
seq,64,8,30,0.004710133333333334,0.00063914337786702,0.004668375965979355,0.004751890700687313
seq,64,16,30,0.004710133333333334,0.00063914337786702,0.004668375965979355,0.004751890700687313
seq,64,32,30,0.004710133333333334,0.00063914337786702,0.004668375965979355,0.004751890700687313
seq,128,1,30,0.017994166666666665,0.0017608020524227284,0.017879127599241713,0.018109205734091617
seq,128,2,30,0.017994166666666665,0.0017608020524227284,0.017879127599241713,0.018109205734091617
seq,128,4,30,0.017994166666666665,0.0017608020524227284,0.017879127599241713,0.018109205734091617
seq,128,8,30,0.017994166666666665,0.0017608020524227284,0.017879127599241713,0.018109205734091617
seq,128,16,30,0.017994166666666665,0.0017608020524227284,0.017879127599241713,0.018109205734091617
seq,128,32,30,0.017994166666666665,0.0017608020524227284,0.017879127599241713,0.018109205734091617
seq,256,1,30,0.06787486666666667,0.003389152419048194,0.06765344204195553,0.06809629129137781
seq,256,2,30,0.06787486666666667,0.003389152419048194,0.06765344204195553,0.06809629129137781
seq,256,4,30,0.06787486666666667,0.003389152419048194,0.06765344204195553,0.06809629129137781
seq,256,8,30,0.06787486666666667,0.003389152419048194,0.06765344204195553,0.06809629129137781
seq,256,16,30,0.06787486666666667,0.003389152419048194,0.06765344204195553,0.06809629129137781
seq,256,32,30,0.06787486666666667,0.003389152419048194,0.06765344204195553,0.06809629129137781
seq,512,1,30,0.25210916666666666,0.00386489115770671,0.25185666044436317,0.25236167288897016
seq,512,2,30,0.25210916666666666,0.00386489115770671,0.25185666044436317,0.25236167288897016
seq,512,4,30,0.25210916666666666,0.00386489115770671,0.25185666044436317,0.25236167288897016
seq,512,8,30,0.25210916666666666,0.00386489115770671,0.25185666044436317,0.25236167288897016
seq,512,16,30,0.25210916666666666,0.00386489115770671,0.25185666044436317,0.25236167288897016
seq,512,32,30,0.25210916666666666,0.00386489115770671,0.25185666044436317,0.25236167288897016
seq,1024,1,30,0.9887731666666668,0.0043459036049685006,0.9884892342978089,0.9890570990355247
seq,1024,2,30,0.9887731666666668,0.0043459036049685006,0.9884892342978089,0.9890570990355247
seq,1024,4,30,0.9887731666666668,0.0043459036049685006,0.9884892342978089,0.9890570990355247
seq,1024,8,30,0.9887731666666668,0.0043459036049685006,0.9884892342978089,0.9890570990355247
seq,1024,16,30,0.9887731666666668,0.0043459036049685006,0.9884892342978089,0.9890570990355247
seq,1024,32,30,0.9887731666666668,0.0043459036049685006,0.9884892342978089,0.9890570990355247
seq,2048,1,30,3.9622399666666666,0.02422057655352282,3.9606575556651697,3.9638223776681634
seq,2048,2,30,3.9622399666666666,0.02422057655352282,3.9606575556651697,3.9638223776681634
seq,2048,4,30,3.9622399666666666,0.02422057655352282,3.9606575556651697,3.9638223776681634
seq,2048,8,30,3.9622399666666666,0.02422057655352282,3.9606575556651697,3.9638223776681634
seq,2048,16,30,3.9622399666666666,0.02422057655352282,3.9606575556651697,3.9638223776681634
seq,2048,32,30,3.9622399666666666,0.02422057655352282,3.9606575556651697,3.9638223776681634
seq,4096,1,30,15.7860488,0.02223951519937984,15.784595818340307,15.787501781659692
seq,4096,2,30,15.7860488,0.02223951519937984,15.784595818340307,15.787501781659692
seq,4096,4,30,15.7860488,0.02223951519937984,15.784595818340307,15.787501781659692
seq,4096,8,30,15.7860488,0.02223951519937984,15.784595818340307,15.787501781659692
seq,4096,16,30,15.7860488,0.02223951519937984,15.784595818340307,15.787501781659692
seq,4096,32,30,15.7860488,0.02223951519937984,15.784595818340307,15.787501781659692
