number_if,array_size,num_thread,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
0,32752,1,30,0.0187,0.005449897183465466,0.018343940050680258,0.019056059949319745
0,32752,2,30,0.00874333333333333,0.00023588912259983412,0.008727921910656808,0.008758744756009853
0,32752,4,30,0.005293333333333332,0.0011038907158970393,0.0052212124732280586,0.005365454193438606
0,32752,8,30,0.005516666666666666,0.0008489682717491753,0.005461200739579054,0.005572132593754279
0,32752,16,30,0.005576666666666666,0.0004910813777167993,0.005544582683322502,0.005608750650010831
0,32752,32,30,0.007033333333333334,0.003977638645654266,0.0067734609418172555,0.007293205724849413
0,32752,64,30,0.007243333333333333,0.0009182754951851167,0.007183339334314572,0.007303327332352095
0,32752,128,30,0.008899999999999998,0.0005051459331649651,0.008866997132366553,0.008933002867633443
0,32752,256,30,0.010093333333333336,0.00047773411544233614,0.010062121371124437,0.010124545295542235
0,32752,512,30,0.012490000000000001,0.0005155178180137472,0.012456319502556436,0.012523680497443566
0,32752,1024,30,0.02113666666666667,0.0004246567241117623,0.021108922427358037,0.021164410905975307
0,32752,2048,30,0.04395666666666667,0.0005636600426481918,0.04391984087721366,0.043993492456119686
0,32752,8192,30,0.1694166666666667,0.004567205690144901,0.16911827589491055,0.16971505743842283
0,32752,32752,30,0.68698,0.019226192622529833,0.6857238887486614,0.6882361112513387
0,1048576,1,30,0.5181833333333333,0.0038244299402415663,0.5179334705772376,0.5184331960894291
0,1048576,2,30,0.27373666666666663,0.004588627871938019,0.2734368763123667,0.2740364570209666
0,1048576,4,30,0.15497333333333332,0.01409154633675522,0.15405268563933197,0.15589398102733468
0,1048576,8,30,0.15288000000000002,0.007059422658820058,0.15241878438629045,0.15334121561370959
0,1048576,16,30,0.15220333333333336,0.005165300894752727,0.1518658670082095,0.1525407996584572
0,1048576,32,30,0.15176,0.006126291559815128,0.15135974895142543,0.15216025104857459
0,1048576,64,30,0.15123,0.0025607313071828166,0.15106269888793072,0.15139730111206928
0,1048576,128,30,0.15221333333333337,0.003265571010250506,0.151999982693997,0.15242668397266973
0,1048576,256,30,0.15641666666666668,0.008060550307787172,0.1558900440465579,0.15694328928677545
0,1048576,512,30,0.16282333333333335,0.005928405224488887,0.16243601085866674,0.16321065580799995
0,1048576,1024,30,0.19389,0.010839593770222585,0.19318181320701214,0.19459818679298788
0,1048576,2048,30,0.2584533333333333,0.01183990136647329,0.2576797931107237,0.2592268735559429
0,1048576,8192,30,0.32037,0.014633974405353856,0.3194139136721835,0.32132608632781645
0,1048576,32752,30,0.69036,0.02005257916165606,0.6890498981614385,0.6916701018385615
0,10000000,1,30,4.891483333333334,0.01945474117080426,4.890212290243508,4.89275437642316
0,10000000,2,30,2.5957133333333333,0.02058916242092922,2.594368174721833,2.597058491944834
0,10000000,4,30,1.4347566666666667,0.021797796208337886,1.4333325439810554,1.436180789352278
0,10000000,8,30,1.43936,0.024051820491711586,1.4377886143945415,1.4409313856054584
0,10000000,16,30,1.4284,0.021379106784347922,1.4270032316900891,1.4297967683099106
0,10000000,32,30,1.43262,0.023885624012840008,1.4310594725644945,1.4341805274355055
0,10000000,64,30,1.4282066666666664,0.02083044743230172,1.4268457441010893,1.4295675892322435
0,10000000,128,30,1.4293133333333337,0.022647367713882687,1.42783370530936,1.4307929613573074
0,10000000,256,30,1.4324733333333333,0.013988047442883782,1.4315594475670648,1.4333872190996018
0,10000000,512,30,1.4421766666666669,0.02477228266643483,1.440558210865793,1.4437951224675407
0,10000000,1024,30,1.44864,0.019921303793366194,1.4473384748188334,1.4499415251811665
0,10000000,2048,30,1.4680600000000004,0.026660491238974716,1.466318181239054,1.4698018187609467
0,10000000,8192,30,1.7675333333333332,0.02685133186619439,1.7657790463180751,1.7692876203485912
0,10000000,32752,30,2.74938,0.04241043625628335,2.746609184831256,2.752150815168744
1,32752,1,30,0.01906666666666667,0.001845279781297234,0.018946108387621917,0.01918722494571142
1,32752,2,30,0.009573333333333333,0.00018742048122232847,0.00956108852856014,0.009585578138106525
1,32752,4,30,0.006019999999999999,0.0039954629441318855,0.005758963087650049,0.006281036912349949
1,32752,8,30,0.004913333333333334,0.0008118660214478797,0.004860291419932073,0.004966375246734595
1,32752,16,30,0.005046666666666667,0.00038750602516635785,0.0050213496063557985,0.005071983726977536
1,32752,32,30,0.00537,0.00047426894741566054,0.005339014428768843,0.005400985571231157
1,32752,64,30,0.007316666666666667,0.0009805288275258383,0.007252605449934979,0.007380727883398355
1,32752,128,30,0.008473333333333333,0.0005747163218273103,0.008435785200307282,0.008510881466359383
1,32752,256,30,0.009213333333333332,0.0003857221917331206,0.009188132816806768,0.009238533849859896
1,32752,512,30,0.011773333333333335,0.0005993866596914649,0.011734173404900159,0.011812493261766512
1,32752,1024,30,0.02128,0.0008735184501535277,0.021222930127923305,0.021337069872076696
1,32752,2048,30,0.04368666666666666,0.0008093136016076376,0.043633791511361625,0.04373954182197169
1,32752,8192,30,0.17309333333333335,0.014627205011101119,0.17213768927260809,0.1740489773940586
1,32752,32752,30,0.6860733333333333,0.012945773730112247,0.6852275427829659,0.6869191238837007
1,1048576,1,30,0.5070833333333332,0.00479346418058743,0.5067701603402015,0.5073965063264649
1,1048576,2,30,0.25433333333333336,0.004098724219789015,0.2540655500176405,0.25460111664902624
1,1048576,4,30,0.13485666666666668,0.005916935561317331,0.13447009354332728,0.13524323979000608
1,1048576,8,30,0.13434333333333331,0.004194551748139017,0.13406928928578823,0.1346173773808784
1,1048576,16,30,0.13574999999999998,0.0035530220260000306,0.13551786922763465,0.13598213077236532
1,1048576,32,30,0.13696333333333335,0.008360229469434986,0.1364171316746636,0.1375095349920031
1,1048576,64,30,0.13584333333333332,0.0034187801144946995,0.13561997303251966,0.13606669363414697
1,1048576,128,30,0.13740000000000002,0.0049796828593104536,0.1370746607198584,0.13772533928014163
1,1048576,256,30,0.13885666666666668,0.004679278115068705,0.13855095382981553,0.13916237950351784
1,1048576,512,30,0.14831666666666665,0.004446392054109782,0.14802616905246482,0.14860716428086848
1,1048576,1024,30,0.18160666666666667,0.013982647702835443,0.18069313368341475,0.18252019964991859
1,1048576,2048,30,0.24904666666666667,0.010848986392614125,0.2483378662223492,0.24975546711098412
1,1048576,8192,30,0.30444333333333334,0.02398500513371568,0.3028763129979306,0.3060103536687361
1,1048576,32752,30,0.6878533333333334,0.021818020601981875,0.6864278893206706,0.6892787773459963
1,10000000,1,30,4.785873333333333,0.03095339024753329,4.783851045170494,4.787895621496172
1,10000000,2,30,2.4099999999999997,0.013530782274706695,2.4091159888913856,2.410884011108614
1,10000000,4,30,1.2764033333333331,0.0244480939717307,1.2748060578605134,1.2780006088061528
1,10000000,8,30,1.2848333333333335,0.021031066238458688,1.283459303672421,1.286207362994246
